"ID";"FullName";"global_id";"ShortName";"AdmArea";"District";"Address";"Owner";"TestDate";"geodata_center";"geoarea";
"Код";"Полное официальное наименование";"global_id";"Сокращенное наименование";"Административный округ";"Район";"Адрес";"Наименование компании";"Дата проверки";"geodata_center";"geoarea";
"14";"Автомобильный заправочный комплекс № 1 «РН-Москва»";"4539435";"АЗК № 1 «РН-Москва»";"Северо-Восточный административный округ";"район Отрадное";"улица Декабристов, дом 47Б";"ОАО «РН-Москва»";"04.04.2013";"";"";
"15";"Автомобильный заправочный комплекс № 11 «РН-Москва»";"4539436";"АЗК № 11 «РН-Москва»";"Северный административный округ";"Бескудниковский район";"Дубнинская улица, дом 52";"ОАО «РН-Москва»";"04.04.2013";"";"";
"16";"Автомобильная заправочная станция «Альфа-Петрол М» на Ясеневой улице, дом 13А";"4539437";"АЗС «Альфа-Петрол М» на Ясеневой улице, дом 13А";"Южный административный округ";"район Орехово-Борисово Южное";"Ясеневая улица, дом 13А";"ООО «Альфа-Петрол М»";"09.04.2013";"";"";
"19";"Автомобильная заправочная станция № 18 «ЕКА-АЗС»";"4539438";"АЗС № 18 «ЕКА-АЗС»";"Северный административный округ";"район Сокол";"улица Панфилова, владение 2";"ООО «ЕКА-АЗС»";"10.04.2013";"";"";
"20";"Автомобильный заправочный комплекс № 57 «РН-Москва»";"4539439";"АЗК № 57 «РН-Москва»";"Юго-Восточный административный округ";"Рязанский район";"Рязанский проспект, владение 26, корпус 2";"ОАО «РН-Москва»";"11.04.2013";"";"";
"21";"Автомобильный заправочный комплекс № 42 «РН-Москва»";"4539440";"АЗК № 42 «РН-Москва»";"Восточный административный округ";"район Новокосино";"5-й километр Московской Кольцевой Автодороги, владение 6";"ОАО «РН-Москва»";"11.04.2013";"";"";
"25";"Автомобильный заправочный комплекс № 35 «РН-Москва»";"4539441";"АЗК № 35 «РН-Москва»";"Юго-Восточный административный округ";"район Выхино-Жулебино";"9-й километр Московской Кольцевой Автодороги";"ОАО «РН-Москва»";"23.04.2013";"";"";
"26";"Автомобильная заправочная станция № 4 «Транс АЗС»";"4539442";"АЗС № 4 «Транс АЗС»";"Юго-Восточный административный округ";"Рязанский район";"Рязанский проспект, владение 14, строение 4";"ЗАО «Транс АЗС»";"24.04.2013";"";"";
"36";"Автомобильный заправочный комплекс № 4 «Валар»";"4539443";"АЗК № 4 «Валар»";"Восточный административный округ";"район Гольяново";"Монтажная улица, дом 3А,строение 1";"ООО «Валар»";"21.05.2013";"";"";
"38";"Автомобильная заправочная станция «ТД «Нефтьмагистраль» на Волгоградском проспекте, владение 26";"4539444";"АЗС «ТД «Нефтьмагистраль» на Волгоградском проспекте, владение 26";"Юго-Восточный административный округ";"Южнопортовый район";"Волгоградский проспект, владение 26";"ООО «ТД «Нефтьмагистраль»";"22.05.2013";"";"";
"39";"Автомобильная заправочная станция «Валар» на 39-м километре Московской Кольцевой Автодороги, владение 1, строение 1";"4539445";"АЗС «Валар» на 39-м километре Московской Кольцевой Автодороги, владение 1, строение 1";"Юго-Западный административный округ";"район Ясенево";"39-й километр Московской Кольцевой Автодороги, владение 1, строение 1";"ООО «Валар»";"26.05.2013";"";"";
"45";"Автомобильная заправочная станция «ТК «Новаторрус-Инвест» на Сельскохозяйственной улице, владение 40";"4539446";"АЗС «ТК «Новаторрус-Инвест» на Сельскохозяйственной улице, владение 40";"Северо-Восточный административный округ";"район Свиблово";"Сельскохозяйственная улица, владение 40";"ОАО «ТК «Новаторрус-Инвест»";"25.06.2013";"";"";
"47";"Автомобильная заправочная станция № 23 «Транс АЗС»";"4539447";"АЗС № 23 «Транс АЗС»";"Восточный административный округ";"район Ивановское";"1-й километр Московской Кольцевой Автодороги, строение 2А";"ЗАО «Транс АЗС»";"12.07.2013";"";"";
"52";"Автомобильная заправочная станция «САГАН» на Симферопольском шоссе, дом 9";"4539448";"АЗС «САГАН» на Симферопольском шоссе, дом 9";"Новомосковский административный округ";"поселение Щербинка";"Симферопольское шоссе, дом 9";"ООО «САГАН»";"08.08.2013";"";"";
"1";"Автомобильная заправочная станция № 450 «ЕТ-АЗС»";"4539449";"АЗС № 450 «ЕТ-АЗС»";"Северо-Восточный административный округ";"район Северное Медведково";"Полярная улица, владение 37В";"ООО «ЕТ-АЗС»";"22.01.2013";"";"";
"3";"Автомобильная заправочная станция № 14 «ТК Нефтепродуктсервис»";"4539450";"АЗС № 14 «ТК Нефтепродуктсервис»";"Северо-Восточный административный округ";"район Северное Медведково";"Осташковская улица, владение 18А";"ООО «ТК Нефтепродуктсервис»";"25.02.2013";"";"";
"5";"Автомобильная заправочная станция № 4 «Сокол»";"4539451";"АЗС № 4 «Сокол»";"Юго-Западный административный округ";"район Ясенево";"39-й километр Московской Кольцевой Автодороги";"ООО «Сокол»";"26.02.2013";"";"";
"6";"Автомобильная заправочная станция № 3 «ТК НИКОЙЛ»";"4539452";"АЗС № 3 «ТК НИКОЙЛ»";"Юго-Западный административный округ";"район Северное Бутово";"улица Поляны, владение 12";"ООО «ТК НИКОЙЛ»";"14.03.2013";"";"";
"11";"Автомобильная заправочная станция № 28 «ЕКА-АЗС»";"4539453";"АЗС № 28 «ЕКА-АЗС»";"Юго-Западный административный округ";"район Зюзино";"Балаклавский проспект, дом 30";"ООО «ЕКА-АЗС»";"21.03.2013";"";"";
"17";"Многофункциональная автомобильная заправочная станция № 9 «НГК «Интеройл»";"4539454";"МАЗС № 9 «НГК «Интеройл»";"Северо-Западный административный округ";"район Митино";"улица Зенитчиков, дом 7";"ООО «НГК «Интеройл»";"09.04.2013";"";"";
"22";"Автомобильный заправочный комплекс № 43 «РН-Москва»";"4539455";"АЗК № 43 «РН-Москва»";"Юго-Восточный административный округ";"район Выхино-Жулебино";"8-й километр Московской Кольцевой Автодороги, владение 2";"ОАО «РН-Москва»";"11.04.2013";"";"";
"23";"Автомобильная заправочная станция № 98 «Газпромнефть-Центр»";"4539456";"АЗС № 98 «Газпромнефть-Центр»";"Северный административный округ";"район Аэропорт";"Ленинградский проспект, владение 45А";"ООО «Газпромнефть-Центр»";"17.04.2013";"";"";
"27";"Автомобильная заправочная станция «Шелл Нефть» на Волгоградском проспекте, владение 79";"4539457";"АЗС «Шелл Нефть» на Волгоградском проспекте, владение 79";"Юго-Восточный административный округ";"район Текстильщики";"Волгоградский проспект, владение 79";"ООО «Шелл Нефть»";"26.04.2013";"";"";
"29";"Автомобильная заправочная станция № 116 «Валар»";"4539458";"АЗС № 116 «Валар»";"Западный административный округ";"район Филёвский Парк";"Большая Филёвская улица, дом 5А";"ООО «Валар»";"14.05.2013";"";"";
"31";"Автомобильный заправочный комплекс № 5 «Валар»";"4539459";"АЗК № 5 «Валар»";"Юго-Западный административный округ";"район Северное Бутово";"Куликовская улица, дом 2, строение 1";"ООО «Валар»";"14.05.2013";"";"";
"33";"Автомобильная заправочная станция № 16 «Валар»";"4539460";"АЗС № 16 «Валар»";"Новомосковский административный округ";"поселение Сосенское";"36-й километр Калужского шоссе";"ООО «Валар»";"16.05.2013";"";"";
"34";"Автомобильный заправочный комплекс № 8 «Валар»";"4539461";"АЗК № 8 «Валар»";"Восточный административный округ";"район Богородское";"улица Богородский Вал, дом 3А, строение 1";"ООО «Валар»";"21.05.2013";"";"";
"35";"Автомобильный заправочный комплекс № 9 «Валар»";"4539462";"АЗК № 9 «Валар»";"Восточный административный округ";"район Богородское";"Открытое шоссе, дом 14Г, строение 1";"ООО «Валар»";"21.05.2013";"";"";
"42";"Автомобильная заправочная станция «Механизация-2» на Южнопортовой улице, дом 17Б";"4539463";"АЗС «Механизация-2» на Южнопортовой улице, дом 17Б";"Юго-Восточный административный округ";"район Печатники";"Южнопортовая улица, дом 17Б";"ОАО «Механизация-2»";"11.06.2013";"";"";
"44";"Автомобильная заправочная станция № 777 «ТК «Новаторрус-Инвест»";"4539464";"АЗС № 777 «ТК «Новаторрус-Инвест»";"Юго-Восточный административный округ";"район Печатники";"Шоссейная улица, дом 1, владение 10";"ОАО «ТК «Новаторрус-Инвест»";"25.06.2013";"";"";
"46";"Автомобильная заправочная станция «ТК «Новаторрус-Инвест» на Ярославском шоссе, владение 47";"4539465";"АЗС «ТК «Новаторрус-Инвест» на Ярославском шоссе, владение 47";"Северо-Восточный административный округ";"Ярославский район";"Ярославское шоссе, владение 47";"ОАО «ТК «Новаторрус-Инвест»";"25.06.2013";"";"";
"49";"Автомобильная заправочная станция «Галерея ВИП ТУР» на Волжском бульваре, дом 53, владение 1";"4539466";"АЗС «Галерея ВИП ТУР» на Волжском бульваре, дом 53, владение 1";"Юго-Восточный административный округ";"Рязанский район";"Волжский бульвар, дом 53, владение 1";"ООО «Галерея ВИП ТУР»";"01.08.2017";"";"";
"50";"Автомобильный заправочный комплекс «ТНК-Столица» на Рябиновой улице, владение 56";"4539467";"АЗК «ТНК-Столица» на Рябиновой улице, владение 56";"Западный административный округ";"район Очаково-Матвеевское";"Рябиновая улица, владение 56";"ОАО «ТНК-Столица»";"06.08.2013";"";"";
"53";"Автомобильная заправочная станция «ВэСКа» на 78-м километре Московской Кольцевой Автодороги";"4539468";"АЗС «ВэСКа» на 78-м километре Московской Кольцевой Автодороги";"Северный административный округ";"район Западное Дегунино";"78-й километр Московской Кольцевой Автодороги";"ООО «ВэСКа»";"12.08.2013";"";"";
"58";"Автомобильная заправочная станция № 1 «Сервис ФСП» на Краснобогатырской улице, владение 22";"4539469";"АЗС № 1 «Сервис ФСП» на Краснобогатырской улице, владение 22";"Восточный административный округ";"район Богородское";"Краснобогатырская улица, владение 22";"ООО «Сервис ФСП»";"20.05.2014";"";"";
"59";"Автомобильная заправочная станция «ТНК-Столица» на Юрловском проезде, владение 8-12";"4539470";"АЗС «ТНК-Столица» на Юрловском проезде, владение 8-12";"Северо-Восточный административный округ";"район Отрадное";"Юрловский проезд, владение 8-12";"ОАО «ТНК-Столица»";"02.09.2013";"";"";
"61";"Автомобильная заправочная станция «Альфа-Петрол-Л» на Анадырском проезде, владение 20";"4539471";"АЗС «Альфа-Петрол-Л» на Анадырском проезде, владение 20";"Северо-Восточный административный округ";"Лосиноостровский район";"Анадырский проезд, владение 20";"ООО «Альфа-Петрол-Л»";"10.11.2017";"";"";
